Sum of Rpt Dist No,AREA NAME,LOCATION
14113,77th Street,1900 W  94TH                         ST
10264,77th Street,1900 W  95TH                         ST
7698,77th Street,1900 W  96TH                         ST
2566,77th Street,1900 W  98TH                         ST
9011,77th Street,1900 W  CENTURY                      BL
57408,77th Street,1900 W  FLORENCE                     AV
11187,77th Street,1900 W  GAGE                         AV
38010,77th Street,1900 W  MANCHESTER                   AV
125539,77th Street,1900 W  SLAUSON                      AV
1203,77th Street,1900 W  VERNON                       AV
26418,77th Street,200 E  73RD                         ST
37740,77th Street,200 E  74TH                         ST
16354,77th Street,200 E  75TH                         ST
11322,77th Street,200 E  76TH                         PL
22644,77th Street,200 E  76TH                         ST
13838,77th Street,200 E  77TH                         ST
32708,77th Street,200 E  78TH                         ST
26588,77th Street,200 E  79TH                         ST
32968,77th Street,200 E  80TH                         ST
35504,77th Street,200 E  81ST                         ST
36772,77th Street,200 E  82ND                         PL
35504,77th Street,200 E  82ND                         ST
17752,77th Street,200 E  83RD                         ST
44380,77th Street,200 E  84TH                         PL
87492,77th Street,200 E  84TH                         ST
54524,77th Street,200 E  85TH                         ST
44030,77th Street,200 E  FLORENCE                     AV
35504,77th Street,200 E  MANCHESTER                   AV
37740,77th Street,200 W  73RD                         ST
49062,77th Street,200 W  74TH                         ST
32708,77th Street,200 W  75TH                         ST
18870,77th Street,200 W  76TH                         ST
12580,77th Street,200 W  77TH                         ST
70448,77th Street,200 W  78TH                         ST
15176,77th Street,200 W  79TH                         ST
30432,77th Street,200 W  80TH                         ST
30432,77th Street,200 W  81ST                         ST
81152,77th Street,200 W  82ND                         ST
48184,77th Street,200 W  83RD                         ST
71008,77th Street,200 W  84TH                         PL
65936,77th Street,200 W  84TH                         ST
24092,77th Street,200 W  85TH                         PL
25360,77th Street,200 W  85TH                         ST
27676,77th Street,200 W  FLORENCE                     AV
59596,77th Street,200 W  MANCHESTER                   AV
1283,77th Street,2000    CENTURY                      BL
3699,77th Street,2000    HYDE PARK                    BL
7218,77th Street,2000 W  48TH                         ST
4812,77th Street,2000 W  52ND                         ST
57011,77th Street,2000 W  54TH                         ST
1243,77th Street,2000 W  55TH                         PL
9704,77th Street,2000 W  57TH                         ST
1233,77th Street,2000 W  59TH                         ST
3699,77th Street,2000 W  60TH                         ST
6215,77th Street,2000 W  62ND                         ST
23617,77th Street,2000 W  64TH                         ST
13673,77th Street,2000 W  65TH                         PL
39776,77th Street,2000 W  65TH                         ST
22374,77th Street,2000 W  66TH                         ST
14916,77th Street,2000 W  67TH                         ST
13673,77th Street,2000 W  68TH                         ST
17402,77th Street,2000 W  69TH                         ST
36047,77th Street,2000 W  70TH                         ST
11187,77th Street,2000 W  71ST                         ST
27566,77th Street,2000 W  73RD                         ST
21301,77th Street,2000 W  74TH                         ST
21301,77th Street,2000 W  75TH                         ST
10024,77th Street,2000 W  76TH                         ST
20048,77th Street,2000 W  77TH                         ST
17542,77th Street,2000 W  78TH                         PL
17542,77th Street,2000 W  78TH                         ST
21371,77th Street,2000 W  79TH                         ST
16419,77th Street,2000 W  80TH                         ST
10104,77th Street,2000 W  81ST                         ST
7578,77th Street,2000 W  82ND                         ST
7578,77th Street,2000 W  83RD                         ST
21471,77th Street,2000 W  84TH                         PL
15156,77th Street,2000 W  84TH                         ST
17682,77th Street,2000 W  85TH                         ST
2566,77th Street,2000 W  92ND                         ST
17962,77th Street,2000 W  93RD                         ST
10264,77th Street,2000 W  94TH                         PL
20528,77th Street,2000 W  94TH                         ST
7698,77th Street,2000 W  95TH                         ST
3849,77th Street,2000 W  96TH                         PL
14113,77th Street,2000 W  96TH                         ST
8981,77th Street,2000 W  97TH                         ST
1283,77th Street,2000 W  98TH                         ST
3849,77th Street,2000 W  99TH                         ST
15396,77th Street,2000 W  CENTURY                      BL
63723,77th Street,2000 W  FLORENCE                     AV
8701,77th Street,2000 W  GAGE                         AV
63500,77th Street,2000 W  MANCHESTER                   AV
26846,77th Street,2000 W  SLAUSON                      AV
2406,77th Street,2000 W  VERNON                       AV
13563,77th Street,2100    HYDE PARK                    BL
1283,77th Street,2100 W  49TH                         PL
7278,77th Street,2100 W  52ND                         ST
31538,77th Street,2100 W  54TH                         ST
3639,77th Street,2100 W  57TH                         ST
6165,77th Street,2100 W  59TH                         ST
13643,77th Street,2100 W  62ND                         ST
2486,77th Street,2100 W  65TH                         PL
4972,77th Street,2100 W  70TH                         ST
16289,77th Street,2100 W  73RD                         ST
15036,77th Street,2100 W  74TH                         ST
2506,77th Street,2100 W  75TH                         ST
8771,77th Street,2100 W  76TH                         ST
12530,77th Street,2100 W  77TH                         ST
13783,77th Street,2100 W  78TH                         PL
16289,77th Street,2100 W  78TH                         ST
13833,77th Street,2100 W  79TH                         ST
16419,77th Street,2100 W  80TH                         ST
17682,77th Street,2100 W  81ST                         ST
12630,77th Street,2100 W  82ND                         ST
17682,77th Street,2100 W  83RD                         ST
